ver	gs	bl	non-AS
1	7	9	1
2	18	14	0
3	5	9	0
4	10	10	0
5	11	8	0
6	9	13	0
7	14	11	0
8	10	10	1
9	10	11	0
10	11	12	0
11	11	15	0
12	6	20	1
13	8	16	0
14	13	12	1
15	7	8	2
16	10	12	2
17	8	16	0
18	6	17	0
19	6	9	0
20	14	10	0
21	7	16	0
22	7	12	0
23	12	11	1
24	15	14	2
25	10	13	0
26	8	13	0
27	9	12	1
28	8	11	1
29	7	13	5
30	6	16	1
31	11	9	1
32	5	14	1
33	12	8	0
34	8	7	1
35	12	12	1
36	9	10	0
37	9	14	1
38	5	10	1
39	13	11	0
40	9	9	0
41	10	20	0
42	13	13	0
43	6	10	1
44	11	12	1
45	9	12	0
46	9	13	0
47	10	10	0
48	8	11	0
49	9	10	0
50	14	10	1
51	6	12	1
52	14	13	1
53	8	20	0
54	11	9	0
55	11	12	1
56	7	18	0
57	8	9	1
58	10	11	0
59	6	7	0
60	8	7	1
61	10	12	2
62	8	15	0
63	11	7	0
64	12	12	1
65	9	18	2
66	12	11	0
67	7	10	0
68	6	13	1
69	14	11	1
70	12	14	1
71	11	10	0
72	7	8	0
73	8	14	0
74	11	19	0
75	15	13	0
76	11	16	0
77	11	12	0
78	9	11	0
79	6	10	0
80	5	7	0
81	6	11	1
82	9	10	0
83	5	5	2
84	12	13	0
85	12	6	1
86	10	15	3
87	10	12	0
88	6	15	0
89	11	7	0
90	7	12	0
91	9	11	1
92	9	12	0
93	11	15	0
94	10	3	1
95	9	13	0
96	9	7	1
97	10	8	0
98	10	8	0
99	11	12	0
100	7	9	0
101	13	13	1
102	6	12	0
103	7	11	0
104	8	14	1
105	8	11	0
106	11	11	1
107	8	13	1
108	10	7	0
109	5	22	0
110	9	12	0
111	10	14	2
112	10	14	0
113	8	12	0
114	9	13	0
115	12	10	0
116	9	10	0
117	12	10	0
118	10	15	1
119	7	14	0
120	5	13	0
121	6	9	0
122	11	10	0
123	8	11	2
124	9	12	0
125	9	10	1
126	13	18	0
127	8	11	1
128	11	5	1
129	4	8	2
130	8	16	0
131	6	13	0
132	7	6	1
133	4	10	0
134	11	15	1
135	10	11	0
136	14	11	1
137	3	13	1
138	12	8	0
139	13	13	0
140	7	13	1
141	4	15	0
142	9	7	0
143	9	11	0
144	8	9	1
145	8	17	1
146	10	11	0
147	11	8	1
148	6	13	0
149	8	14	0
150	10	9	1
151	11	9	0
152	10	10	0
153	8	6	2
154	10	12	1
155	9	9	1
156	13	8	1
157	11	12	1
158	8	16	0
159	11	10	3
160	9	20	0
161	10	13	0
162	9	9	1
163	11	10	0
164	8	20	1
165	9	15	0
166	7	5	0
167	12	16	0
168	10	17	0
169	9	11	1
170	8	13	0
171	12	7	0
172	15	9	0
173	12	14	1
174	14	5	0
175	8	15	1
176	11	10	1
177	9	9	1
178	6	15	1
179	11	11	0
180	9	6	1
181	17	16	0
182	15	11	0
183	8	9	0
184	6	14	3
185	8	12	0
186	7	16	1
187	11	10	0
188	4	11	1
189	7	9	1
190	8	14	1
191	9	11	0
192	10	6	1
193	9	14	0
194	12	9	1
195	9	7	0
196	8	8	0
197	11	10	0
198	10	7	1
199	7	9	1
200	10	13	0
201	6	12	0
202	11	13	0
203	7	15	1
204	10	10	0
205	8	8	1
206	13	9	0
207	6	12	0
208	13	15	0
209	10	13	2
210	8	11	0
211	9	13	0
212	7	12	1
213	10	13	1
214	14	10	1
215	13	12	0
216	6	6	0
217	13	13	1
218	10	10	0
219	11	13	1
220	7	14	0
221	17	8	0
222	4	14	0
223	14	15	0
224	6	13	1
225	4	11	0
226	10	9	0
227	9	12	0
228	9	9	0
229	10	13	0
230	11	10	0
231	14	13	1
232	11	6	0
233	9	10	1
234	11	20	1
235	13	14	0
236	9	12	1
237	9	14	0
238	12	14	0
239	10	8	0
240	11	19	0
241	11	15	1
242	8	12	0
243	10	11	0
244	8	15	0
245	13	8	0
246	8	14	0
247	9	10	0
248	10	11	1
249	10	4	2
250	8	12	2
251	8	12	0
252	7	10	0
253	8	9	1
254	9	11	1
255	7	13	0
256	8	8	1
257	7	10	2
258	10	11	0
259	12	15	2
260	6	9	1
261	9	8	0
262	10	10	1
263	9	9	2
264	12	9	1
265	9	11	1
266	13	20	0
267	12	10	0
268	16	13	0
269	6	13	2
270	7	9	0
271	8	12	1
272	14	15	0
273	8	11	0
274	12	11	3
275	9	11	0
276	8	14	0
277	8	13	1
278	11	5	0
279	10	10	1
280	12	8	0
281	10	14	0
282	9	12	0
283	13	16	0
284	8	5	0
285	12	11	1
286	13	11	0
287	11	6	0
288	11	11	0
289	5	14	0
290	8	9	0
291	6	12	0
292	6	7	0
293	4	12	0
294	6	10	1
295	4	15	0
296	10	18	1
297	8	9	0
298	10	8	0
299	8	10	0
300	11	6	0
301	13	12	0
302	7	18	1
303	5	11	1
304	9	11	0
305	6	6	0
306	11	13	0
307	10	7	1
308	8	14	1
309	12	11	2
310	17	16	3
311	12	19	0
312	6	10	1
313	9	12	1
314	14	14	0
315	12	12	1
316	11	8	1
317	11	10	0
318	8	15	0
319	15	15	1
320	15	17	1
321	13	8	0
322	5	10	0
323	9	16	0
324	10	5	0
325	5	9	0
326	7	14	1
327	8	14	1
328	9	10	0
329	11	16	0
330	13	11	0
331	9	13	0
332	5	12	0
333	8	15	0
334	6	19	0
335	8	8	1
336	14	12	0
337	8	12	0
338	5	10	0
339	8	7	0
340	8	8	0
341	8	14	0
342	4	10	1
343	11	8	1
344	11	7	0
345	8	6	0
346	10	6	2
347	12	14	0
348	9	9	0
349	8	7	0
350	7	13	1
351	9	10	0
352	12	7	0
353	12	15	0
354	8	10	1
355	8	13	0
356	9	8	1
357	10	10	2
358	13	10	0
359	8	9	1
360	5	8	1
361	15	10	0
362	8	12	0
363	11	9	1
364	3	14	0
365	13	13	2
366	12	10	0
367	11	12	0
368	9	13	0
369	11	11	0
370	11	10	1
371	6	7	0
372	9	15	0
373	6	13	1
374	6	18	1
375	7	11	0
376	10	16	2
377	3	12	3
378	9	9	0
379	8	13	1
380	12	7	1
381	6	12	0
382	14	13	0
383	10	9	0
384	11	6	0
385	7	20	0
386	10	11	1
387	6	7	1
388	11	11	0
389	11	9	0
390	8	10	0
391	8	12	1
392	8	9	0
393	9	13	0
394	6	16	1
395	6	17	1
396	8	11	0
397	5	10	1
398	9	12	0
399	10	11	0
400	8	7	0
401	8	14	0
402	9	16	1
403	3	9	1
404	6	10	0
405	14	11	1
406	12	14	0
407	9	11	0
408	7	21	0
409	5	12	1
410	4	12	1
411	12	14	2
412	8	13	0
413	9	12	0
414	10	13	1
415	10	11	0
416	11	7	1
417	6	15	1
418	8	15	0
419	7	9	0
420	11	14	2
421	9	14	0
422	4	15	1
423	12	11	1
424	8	9	2
425	10	14	1
426	6	8	0
427	7	7	0
428	12	7	0
429	11	17	0
430	7	10	1
431	10	14	2
432	9	14	0
433	10	12	0
434	4	9	0
435	15	15	0
436	4	16	1
437	9	9	1
438	8	8	0
439	8	9	0
440	15	10	0
441	9	15	3
442	9	7	0
443	11	9	0
444	4	12	1
445	8	14	0
446	10	11	1
447	11	8	0
448	5	18	0
449	7	14	2
450	11	6	0
451	9	15	1
452	11	8	0
453	10	13	2
454	5	8	0
455	9	11	1
456	14	9	0
457	14	11	0
458	13	11	0
459	16	13	3
460	7	11	1
461	10	13	0
462	11	19	0
463	8	8	0
464	10	10	0
465	11	8	0
466	7	8	1
467	13	12	0
468	7	14	0
469	6	12	1
470	11	15	1
471	13	12	0
472	9	12	0
473	8	13	1
474	9	14	1
475	7	9	1
476	14	8	0
477	8	14	1
478	6	10	1
479	11	12	1
480	12	12	2
481	10	9	1
482	13	13	0
483	8	12	1
484	11	8	1
485	8	9	0
486	6	12	1
487	11	10	2
488	9	18	0
489	8	8	0
490	8	13	0
491	11	10	2
492	10	11	0
493	7	14	1
494	14	10	0
495	12	14	0
496	9	17	1
497	14	8	1
498	8	17	1
499	10	8	0
500	7	11	1
501	9	11	2
502	7	11	0
503	3	9	0
504	10	14	2
505	6	9	0
506	8	13	0
507	10	13	2
508	9	8	0
509	8	7	0
510	8	12	1
511	7	13	0
512	9	20	0
513	7	17	0
514	9	4	0
515	10	14	0
516	13	12	0
517	9	16	1
518	7	5	1
519	6	7	0
520	9	9	0
521	10	11	0
522	11	10	0
523	13	14	1
524	8	11	0
525	8	15	1
526	10	13	0
527	11	9	0
528	5	5	0
529	8	11	1
530	8	13	2
531	9	12	0
532	11	20	1
533	12	5	0
534	8	12	0
535	6	8	2
536	10	12	0
537	8	5	1
538	10	14	0
539	9	14	0
540	4	11	0
541	16	15	1
542	6	6	0
543	12	14	0
544	15	11	0
545	8	14	0
546	6	12	0
547	5	12	0
548	7	8	0
549	10	10	0
550	12	14	2
551	7	14	0
552	13	14	1
553	10	11	0
554	11	8	2
555	15	8	0
556	14	13	0
557	12	13	0
558	11	10	1
559	10	10	0
560	6	11	1
561	10	6	0
562	9	16	1
563	10	8	0
564	3	8	1
565	9	13	0
566	7	17	0
567	9	11	0
568	8	12	0
569	7	11	0
570	3	10	1
571	11	15	0
572	11	12	0
573	8	10	2
574	12	12	0
575	7	10	1
576	5	15	0
577	16	15	1
578	6	20	0
579	9	8	1
580	7	10	0
581	11	6	0
582	9	11	1
583	17	7	1
584	11	11	0
585	7	10	2
586	11	11	0
587	14	9	0
588	12	13	0
589	5	11	0
590	9	8	0
591	8	10	0
592	9	13	1
593	8	7	0
594	6	9	0
595	11	5	0
596	8	7	1
597	10	14	1
598	7	12	2
599	9	10	1
600	16	6	0
601	5	8	1
602	8	8	0
603	12	19	1
604	8	10	0
605	8	17	0
606	14	12	1
607	8	5	0
608	12	13	0
609	8	18	4
610	7	20	0
611	12	14	0
612	4	15	1
613	8	22	0
614	12	7	1
615	10	13	0
616	8	11	0
617	9	14	0
618	9	15	1
619	9	15	1
620	10	10	0
621	6	10	1
622	10	12	1
623	13	15	1
624	9	20	0
625	17	11	1
626	4	11	0
627	6	17	0
628	9	16	2
629	9	13	0
630	12	12	0
631	9	10	2
632	10	15	1
633	10	18	1
634	10	12	0
635	9	10	1
636	12	13	2
637	8	11	0
638	11	12	0
639	8	9	0
640	11	10	0
641	7	16	1
642	8	8	0
643	11	10	0
644	11	7	0
645	9	11	0
646	10	5	0
647	13	15	1
648	12	14	0
649	14	11	1
650	10	4	0
651	11	11	1
652	7	12	1
653	5	10	0
654	10	10	0
655	8	11	0
656	9	21	0
657	12	13	0
658	13	8	2
659	10	14	1
660	1	10	0
661	8	10	0
662	13	12	1
663	10	7	0
664	12	18	0
665	9	14	0
666	9	12	0
667	10	12	1
668	10	14	0
669	9	8	0
670	9	7	2
671	11	12	0
672	9	12	0
673	9	13	2
674	14	11	1
675	7	14	0
676	11	16	0
677	11	16	1
678	8	11	0
679	8	10	1
680	6	13	0
681	10	15	0
682	5	8	1
683	6	6	0
684	7	17	2
685	15	15	1
686	13	12	0
687	11	10	1
688	12	10	0
689	13	14	0
690	7	16	2
691	12	9	0
692	12	15	1
693	11	15	2
694	7	15	0
695	8	14	0
696	12	9	0
697	9	11	0
698	6	12	0
699	10	13	1
700	12	5	0
701	10	17	1
702	10	6	0
703	9	13	2
704	9	12	0
705	10	12	3
706	10	10	1
707	6	8	2
708	15	5	1
709	12	12	0
710	13	17	0
711	8	11	0
712	11	8	1
713	9	12	1
714	10	7	0
715	9	12	2
716	11	8	0
717	6	14	1
718	8	10	2
719	13	13	0
720	9	15	0
721	13	6	0
722	13	10	0
723	8	10	0
724	7	14	1
725	11	9	0
726	10	14	0
727	11	13	0
728	9	15	0
729	10	16	0
730	11	15	0
731	13	11	0
732	11	11	0
733	7	7	1
734	8	12	0
735	10	11	0
736	10	17	0
737	6	9	0
738	9	10	0
739	9	12	1
740	11	9	0
741	10	9	0
742	9	19	1
743	13	11	1
744	11	8	0
745	11	15	1
746	7	7	0
747	7	14	0
748	14	13	1
749	15	8	0
750	12	10	0
751	11	14	0
752	10	12	2
753	10	17	0
754	12	10	0
755	14	12	1
756	4	13	0
757	15	16	0
758	7	13	1
759	9	13	0
760	13	8	0
761	12	10	1
762	6	14	0
763	6	13	1
764	10	16	0
765	13	10	0
766	6	10	0
767	10	9	0
768	11	10	0
769	7	11	1
770	8	12	1
771	7	6	1
772	6	10	0
773	10	8	1
774	8	11	1
775	14	12	0
776	14	11	2
777	8	12	0
778	7	12	0
779	14	6	3
780	8	13	1
781	16	12	0
782	9	11	3
783	8	11	1
784	10	9	2
