sample_name,color,shape
FD_W_2020_R1,blue,^
FD_W_2020_R2,blue,^
TFL1_W_2020_R1,red,^
TFL1_W_2020_R2,red,^
TFL1_W_2020_R3,red,^
TFL1_W_2020_R4,red,^
TFL1_fd_W_2020_R1,rebeccapurple,^
TFL1_fd_W_2020_R2,rebeccapurple,^
LFY_W_2021_R1,gray,^
LFY_W_2021_R2,gray,^
LFY_W_2021_R3,gray,^
LFY_P_2016_R1,gray,s
LFY_P_2016_R2,gray,s
FD_S_2019_R1,blue,o
FD_S_2019_R2,blue,o
FD_ft10_tsf1_S_2019_R1,blue,o
FD_ft10_tsf1_S_2019_R2,blue,o
TFL1_S_2020_R1,red,o
TFL1_S_2020_R2,red,o
TFL1_S_2020_R3,red,o
LFY_P_2011_R1,gray,s
LFY_P_2011_R2,gray,s
FD_C_2020_R1,blue,P
FD_C_2020_R2,blue,P
