SampleID,Factor,Lab,Replicate,bamReads
FD_W_2020_R1,FD,W,1,mapped/chip/greenscreen_mask/FD_W_2020_R1.dupmark.sorted.bam
FD_W_2020_R2,FD,W,2,mapped/chip/greenscreen_mask/FD_W_2020_R2.dupmark.sorted.bam
TFL1_A_W_2020_R1,TFL1,W,1,mapped/chip/greenscreen_mask/TFL1_A_W_2020_R1.dupmark.sorted.bam
TFL1_A_W_2020_R2,TFL1,W,2,mapped/chip/greenscreen_mask/TFL1_A_W_2020_R2.dupmark.sorted.bam
TFL1_B_W_2020_R1,TFL1,W,1,mapped/chip/greenscreen_mask/TFL1_B_W_2020_R1.dupmark.sorted.bam
TFL1_B_W_2020_R2,TFL1,W,2,mapped/chip/greenscreen_mask/TFL1_B_W_2020_R2.dupmark.sorted.bam
TFL1_fd_W_2020_R1,TFL1_fd,W,1,mapped/chip/greenscreen_mask/TFL1_fd_W_2020_R1.dupmark.sorted.bam
TFL1_fd_W_2020_R2,TFL1_fd,W,2,mapped/chip/greenscreen_mask/TFL1_fd_W_2020_R2.dupmark.sorted.bam
LFY_W_2021_R1,LFY,W,1,mapped/chip/greenscreen_mask/LFY_W_2021_R1.dupmark.sorted.bam
LFY_W_2021_R2,LFY,W,2,mapped/chip/greenscreen_mask/LFY_W_2021_R2.dupmark.sorted.bam
LFY_W_2021_R3,LFY,W,3,mapped/chip/greenscreen_mask/LFY_W_2021_R3.dupmark.sorted.bam
LFY_P_2016_R1,LFY,P,1,mapped/chip/greenscreen_mask/LFY_P_2016_R1.dupmark.sorted.bam
LFY_P_2016_R2,LFY,P,2,mapped/chip/greenscreen_mask/LFY_P_2016_R2.dupmark.sorted.bam
FD_S_2019_R1,FD,S,1,mapped/chip/greenscreen_mask/FD_S_2019_R1.dupmark.sorted.bam
FD_S_2019_R2,FD,S,2,mapped/chip/greenscreen_mask/FD_S_2019_R2.dupmark.sorted.bam
FD_ft10_tsf1_S_2019_R1,FD,S,1,mapped/chip/greenscreen_mask/FD_ft10_tsf1_S_2019_R1.dupmark.sorted.bam
FD_ft10_tsf1_S_2019_R2,FD,S,2,mapped/chip/greenscreen_mask/FD_ft10_tsf1_S_2019_R2.dupmark.sorted.bam
TFL1_S_2020_R1,TFL1,S,1,mapped/chip/greenscreen_mask/TFL1_S_2020_R1.dupmark.sorted.bam
TFL1_S_2020_R2,TFL1,S,2,mapped/chip/greenscreen_mask/TFL1_S_2020_R2.dupmark.sorted.bam
TFL1_S_2020_R3,TFL1,S,3,mapped/chip/greenscreen_mask/TFL1_S_2020_R3.dupmark.sorted.bam
LFY_P_2011_R1,LFY,P,1,mapped/chip/greenscreen_mask/LFY_P_2011_R1.dupmark.sorted.bam
LFY_P_2011_R2,LFY,P,2,mapped/chip/greenscreen_mask/LFY_P_2011_R2.dupmark.sorted.bam
FD_C_2020_R1,FD,C,1,mapped/chip/greenscreen_mask/FD_C_2020_R1.dupmark.sorted.bam
FD_C_2020_R2,FD,C,2,mapped/chip/greenscreen_mask/FD_C_2020_R2.dupmark.sorted.bam
