SampleID,Exp,Factor,Lab,Replicate,bamReads
FD_W_2020_R1,ChIP,FD,W,1,mapped/chip/greenscreen_mask/FD_W_2020_R1.dupmark.sorted.bam
FD_W_2020_R2,ChIP,FD,W,2,mapped/chip/greenscreen_mask/FD_W_2020_R2.dupmark.sorted.bam
TFL1_A_W_2020_R1,ChIP,TFL1,W,1,mapped/chip/greenscreen_mask/TFL1_A_W_2020_R1.dupmark.sorted.bam
TFL1_A_W_2020_R2,ChIP,TFL1,W,2,mapped/chip/greenscreen_mask/TFL1_A_W_2020_R2.dupmark.sorted.bam
TFL1_B_W_2020_R1,ChIP,TFL1,W,1,mapped/chip/greenscreen_mask/TFL1_B_W_2020_R1.dupmark.sorted.bam
TFL1_B_W_2020_R2,ChIP,TFL1,W,2,mapped/chip/greenscreen_mask/TFL1_B_W_2020_R2.dupmark.sorted.bam
TFL1_fd_W_2020_R1,ChIP,TFL1_fd,W,1,mapped/chip/greenscreen_mask/TFL1_fd_W_2020_R1.dupmark.sorted.bam
TFL1_fd_W_2020_R2,ChIP,TFL1_fd,W,2,mapped/chip/greenscreen_mask/TFL1_fd_W_2020_R2.dupmark.sorted.bam
LFY_W_2021_R1,ChIP,LFY,W,1,mapped/chip/greenscreen_mask/LFY_W_2021_R1.dupmark.sorted.bam
LFY_W_2021_R2,ChIP,LFY,W,2,mapped/chip/greenscreen_mask/LFY_W_2021_R2.dupmark.sorted.bam
LFY_W_2021_R3,ChIP,LFY,W,3,mapped/chip/greenscreen_mask/LFY_W_2021_R3.dupmark.sorted.bam
LFY_P_2016_R1,ChIP,LFY,P,1,mapped/chip/greenscreen_mask/LFY_P_2016_R1.dupmark.sorted.bam
LFY_P_2016_R2,ChIP,LFY,P,2,mapped/chip/greenscreen_mask/LFY_P_2016_R2.dupmark.sorted.bam
FD_S_2019_R1,ChIP,FD,S,1,mapped/chip/greenscreen_mask/FD_S_2019_R1.dupmark.sorted.bam
FD_S_2019_R2,ChIP,FD,S,2,mapped/chip/greenscreen_mask/FD_S_2019_R2.dupmark.sorted.bam
FD_ft10_tsf1_S_2019_R1,ChIP,FD,S,1,mapped/chip/greenscreen_mask/FD_ft10_tsf1_S_2019_R1.dupmark.sorted.bam
FD_ft10_tsf1_S_2019_R2,ChIP,FD,S,2,mapped/chip/greenscreen_mask/FD_ft10_tsf1_S_2019_R2.dupmark.sorted.bam
TFL1_S_2020_R1,ChIP,TFL1,S,1,mapped/chip/greenscreen_mask/TFL1_S_2020_R1.dupmark.sorted.bam
TFL1_S_2020_R2,ChIP,TFL1,S,2,mapped/chip/greenscreen_mask/TFL1_S_2020_R2.dupmark.sorted.bam
TFL1_S_2020_R3,ChIP,TFL1,S,3,mapped/chip/greenscreen_mask/TFL1_S_2020_R3.dupmark.sorted.bam
LFY_P_2011_R1,ChIP,LFY,P,1,mapped/chip/greenscreen_mask/LFY_P_2011_R1.dupmark.sorted.bam
LFY_P_2011_R2,ChIP,LFY,P,2,mapped/chip/greenscreen_mask/LFY_P_2011_R2.dupmark.sorted.bam
FD_C_2020_R1,ChIP,FD,C,1,mapped/chip/greenscreen_mask/FD_C_2020_R1.dupmark.sorted.bam
FD_C_2020_R2,ChIP,FD,C,2,mapped/chip/greenscreen_mask/FD_C_2020_R2.dupmark.sorted.bam
TFL1_FD_fd_W_2020_Input_R1,Input,,W,1,mapped/chip/greenscreen_mask/TFL1_FD_fd_W_2020_Input_R1.dupmark.sorted.bam
TFL1_FD_fd_W_2020_Input_R2,Input,,W,2,mapped/chip/greenscreen_mask/TFL1_FD_fd_W_2020_Input_R2.dupmark.sorted.bam
TFL1_FD_fd_W_2020_Input_R3,Input,,W,3,mapped/chip/greenscreen_mask/TFL1_FD_fd_W_2020_Input_R3.dupmark.sorted.bam
TFL1_FD_fd_W_2020_Input_R4,Input,,W,4,mapped/chip/greenscreen_mask/TFL1_FD_fd_W_2020_Input_R4.dupmark.sorted.bam
TFL1_FD_WT_W_2020_Mock_R1,Mock,,W,1,mapped/chip/greenscreen_mask/TFL1_FD_WT_W_2020_Mock_R1.dupmark.sorted.bam
TFL1_FD_WT_W_2020_Mock_R2,Mock,,W,2,mapped/chip/greenscreen_mask/TFL1_FD_WT_W_2020_Mock_R2.dupmark.sorted.bam
TFL1_fd_W_2020_Mock_R1,Mock,,W,1,mapped/chip/greenscreen_mask/TFL1_fd_W_2020_Mock_R1.dupmark.sorted.bam
TFL1_fd_W_2020_Mock_R2,Mock,,W,2,mapped/chip/greenscreen_mask/TFL1_fd_W_2020_Mock_R2.dupmark.sorted.bam
LFY_W_2021_Input_R1,Input,,W,1,mapped/chip/greenscreen_mask/LFY_W_2021_Input_R1.dupmark.sorted.bam
LFY_W_2021_Input_R2,Input,,W,2,mapped/chip/greenscreen_mask/LFY_W_2021_Input_R2.dupmark.sorted.bam
LFY_W_2021_Input_R3,Input,,W,3,mapped/chip/greenscreen_mask/LFY_W_2021_Input_R3.dupmark.sorted.bam
LFY_W_2021_Mock_R1,Mock,,W,1,mapped/chip/greenscreen_mask/LFY_W_2021_Mock_R1.dupmark.sorted.bam
LFY_W_2021_Mock_R2,Mock,,W,2,mapped/chip/greenscreen_mask/LFY_W_2021_Mock_R2.dupmark.sorted.bam
LFY_W_2021_Mock_R3,Mock,,W,3,mapped/chip/greenscreen_mask/LFY_W_2021_Mock_R3.dupmark.sorted.bam
