gene_id	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT2G30750	CYP71A12:cytochrome P450, family 71, subfamily A, polypeptide 12	643.425061700785	-1.91639113466583	0.130279030382076	-14.7024288830756	6.21884446202521e-49	1.23456500260125e-44
AT1G50060	NA	785.647120841637	-1.43055218882488	0.126543621086475	-11.3100443549588	1.17030349760155e-29	1.1616432517193e-25
AT1G26240	NA	259.347006937564	-1.43514511032997	0.135760199491922	-10.7849285177842	4.05558510364698e-27	2.68371584925333e-23
AT5G38940	NA	761.554872089182	-1.31577514474584	0.131143714143383	-10.0784218719295	6.88225798954449e-24	3.41566464021093e-20
AT4G12470	AZI1:azelaic acid induced 1	1302.33725421848	1.19158952152081	0.130728804507024	9.15761556357079	5.30566479512104e-20	2.10656115025486e-16
AT3G14850	TBL41:TRICHOME BIREFRINGENCE-LIKE 41	326.923353551354	-1.18129841788972	0.134853171610665	-8.80885300191159	1.26432854294108e-18	4.1832417057444e-15
AT2G30770	CYP71A13:cytochrome P450, family 71, subfamily A, polypeptide 13	98.1502505816993	-0.976177186938044	0.125732498413142	-8.38046066959625	5.27209478375985e-17	1.49516608067429e-13
AT1G26380	NA	143.213325576101	-0.982100869614457	0.132370750691145	-7.69703152986006	1.3926354286964e-14	3.45582481631013e-11
AT1G02920	ATGST11:ARABIDOPSIS GLUTATHIONE S-TRANSFERASE 11;ATGSTF7;ATGSTF8;GST11:GLUTATHIONE S-TRANSFERASE 11;GSTF7:glutathione S-transferase 7	9974.39932870218	-0.737717514792834	0.104422750173292	-7.065569894171	1.59958148066326e-12	3.5283212837919e-09
AT4G12480	EARLI1:EARLY ARABIDOPSIS ALUMINUM INDUCED 1;pEARLI 1	1171.10737694343	0.846704119437909	0.123462167200928	6.85994568078365	6.88867365782588e-12	1.36753949455159e-08
AT2G27380	NA	86.7979411725311	0.700358458129579	0.119915770442869	6.38522111883572	1.71149982689057e-10	3.08879041485742e-07
AT2G25940	ALPHA-VPE:alpha-vacuolar processing enzyme;ALPHAVPE	2659.52155055132	0.686350713351186	0.111518675220112	6.15441306012814	7.53560479250576e-10	1.24664021950687e-06
AT4G34970	ADF9:actin depolymerizing factor 9	340.539558565697	-0.785500167866174	0.134789604403046	-5.84759779449429	4.98722640750929e-09	7.61587835706726e-06
AT2G38870	NA	1238.04516374325	-0.726397431036679	0.129084622520555	-5.63556502666351	1.74485287078664e-08	2.47420137077546e-05
AT1G60590	NA	413.003348369652	0.710841227100362	0.134573106751099	5.29666230298367	1.17938512933714e-07	0.000151133441320555
AT4G25820	ATXTH14;XTH14:xyloglucan endotransglucosylase/hydrolase 14;XTR9:xyloglucan endotransglycosylase 9	470.256288721395	0.705317520816615	0.133856187788194	5.28075855611665	1.2865013310098e-07	0.000151133441320555
AT4G38420	NA	17533.2388505702	0.575652026566952	0.109047005254591	5.27966379240251	1.29421141570091e-07	0.000151133441320555
AT5G50260	NA	5656.26075768914	0.562995903282861	0.107165797298478	5.25368663226228	1.49084455453996e-07	0.000164423589426263
AT5G26300	NA	196.763160449395	-0.687452326035727	0.134796950126121	-5.1594122536754	2.47726291775398e-07	0.000258834860227643
AT1G67750	NA	8419.81562686175	0.565879676398833	0.110087787695516	5.14084452174641	2.7350631372863e-07	0.000271482367007038
AT5G48430	NA	1909.55216243239	0.582369045553073	0.113744159532634	5.11960991645008	3.0616828227062e-07	0.000289431082839826
AT3G16530	NA	703.33829535803	-0.643355760714749	0.126153438845538	-5.10113721075828	3.37618678313589e-07	0.000304654818267335
AT1G02930	NA	6852.52624841887	-0.539052189202494	0.105950058745156	-5.08814060001897	3.61591257810367e-07	0.000312100419567452
AT5G28490	LSH1:LIGHT-DEPENDENT SHORT HYPOCOTYLS 1;OBO2:ORGAN BOUNDARY 2	1225.71638597636	0.627743090110356	0.124806320830722	5.03145540865476	4.86770334794909e-07	0.000402640195264522
AT3G45010	NA	25351.3537080072	0.534737979722852	0.106968020808131	4.99956546955565	5.74596598104855e-07	0.000456275666623103
AT1G75620	NA	757.479246852174	0.635188102388726	0.128718878165512	4.9370732656598	7.93036843959762e-07	0.00059311271592437
AT5G13170	AtSWEET15;SAG29:senescence-associated gene 29;SWEET15	9245.53264448668	0.545858590965357	0.110650987124735	4.9337464266146	8.06671535863287e-07	0.00059311271592437
AT3G59850	NA	1014.33414315202	0.624009333775771	0.127633617706694	4.89172242998749	9.99573452873548e-07	0.000699719687529897
AT4G23550	NA	1569.32947231852	0.574952893237778	0.117638665674676	4.88732409729935	1.02215751251093e-06	0.000699719687529897
AT1G47990	ATGA2OX4:Arabidopsis thaliana gibberellin 2-oxidase 4;GA2OX4:gibberellin 2-oxidase 4	530.441391611785	0.639409389826102	0.132905904605073	4.81757113183658	1.45316293437932e-06	0.000961606352443274
AT2G43570	NA	530.525037396461	-0.610343783629112	0.131894079118922	-4.63292820901342	3.60529589128775e-06	0.00230878496883369
AT1G10640	NA	187.57399509512	0.615318123470885	0.134998963282542	4.59525691342601	4.32216402316723e-06	0.00247469693179696
AT1G20380	NA	786.679526880132	-0.59829932494792	0.130372094104752	-4.59329548736976	4.36300587411312e-06	0.00247469693179696
AT1G29090	NA	1111.64497144738	0.57557885822821	0.12522911292111	4.59747372695774	4.27644533860821e-06	0.00247469693179696
