gene_id	padj	log2FoldChange	probesetID
AT1G06620	0.000507831	1.669421552	262616_at
AT2G46660	0.01137962	1.420512936	266321_at
AT2G05380	0.004305058	1.364382791	263046_at
AT2G41880	0.005885275	-1.64	267537_at
AT1G12100	0.045703911	1.379004428	264370_at
AT3G50890	0.004977709	-1.38	252129_at
AT2G32280	0.0000845	-1.76	266358_at
AT1G76010	0.023769133	1.365186559	262685_at
AT5G06000	0.034216587	-1.27	250758_at
AT1G53320	0.023979134	1.244260189	260588_at
AT3G23820	0.005055901	1.385074785	256865_at
AT2G46710	0.000293339	-1.7	266324_at
AT5G64620	0.000432506	-1.55	247246_at
AT4G17030	4.16E-08	-4.91	245463_at
AT3G60020	0.038715599	-1.38	251441_at
AT3G56710	0.008738452	1.342991206	246293_at
AT3G06420	0.048609836	1.362789282	258880_at
AT1G47960	0.024088148	-1.44	259616_at
AT5G33370	0.028036957	1.41981257	246687_at
AT1G57780	0.000021	-2.41	245829_at
AT5G38320	0.002676533	-1.42	249559_at
AT3G26830	1.47E-08	-17.2	258277_at
AT4G28440	0.039306364	1.227523212	253775_at
AT5G16310	0.003402207	1.386171756	250126_at
AT2G29590	0.032400709	1.446088161	266298_at
AT5G15840	0.033770539	1.347878998	246525_at
AT5G57900	0.044609846	1.287557009	247863_at
AT2G24270	0.031806625	-1.23	265998_at
AT2G42910	0.025817059	-1.26	265270_at
AT1G24070	0.000186808	-1.89	263031_at
AT5G11690	0.000328049	1.623672744	250333_at
AT1G52000	0.014102331	-1.45	265053_at
AT1G22920	0.036391521	1.203372464	264724_at
AT1G66330	0.0168714	1.388474671	260137_at
AT1G72360	0.042160102	1.438373144	260451_at
AT5G46330	0.000594833	-1.6	248895_at
AT3G23620	0.042243118	-1.4	258104_at
AT4G36360	0.005899137	-1.48	253090_at
AT1G05170	0.000294714	-1.9	264583_at
AT3G46110	0.032577744	-1.47	252533_at
AT2G37380	0.0000755	-1.96	266007_at
AT2G20550	0.037075599	1.372981933	263365_at
AT4G22790	0.039672462	1.41996746	254301_at
AT5G42440	0.034248027	1.37890111	249221_at
AT2G40330	0.00000462	3.964344726	263836_at
AT1G13195	0.013674759	1.335921305	262782_at
AT4G31820	0.0000536	-1.76	253493_at
AT4G27140	0.0000104	3.310000044	253904_at
AT5G12880	0.0000632	-1.9	250323_at
AT3G21870	0.017784758	1.599964448	256894_at
AT2G23170	0.000290565	-2.31	245076_at
AT3G14010	0.034971644	1.271048127	258206_at
AT2G17820	0.004119291	-1.58	264790_at
AT2G26250	0.004955593	1.353751877	267377_at
AT1G44170	0.003308027	1.563345757	245742_at
AT5G11060	0.00027102	-1.87	245901_at
AT4G28270	0.000257459	-1.78	253806_at
AT2G18300	0.019700465	-1.31	265342_at
AT5G54280	0.001779665	-1.54	248204_at
AT4G37560	0.005397833	-1.4	253048_at
AT4G18340	0.007598076	-1.43	254665_at
AT1G10640	0.0000131	-2.96	261834_at
AT3G62040	0.00000177	-3.71	251298_at
AT5G58900	0.040489852	-1.22	247768_at
AT4G28040	0.001142745	-1.66	253829_at
AT5G14780	0.00660211	-1.32	246595_at
AT3G25560	0.000158787	1.828366282	257959_at
AT4G31020	0.002480238	-2.04	253573_at
AT5G15780	0.000412558	-2.24	246519_at
AT2G25840	0.012991583	1.43835198	266648_at
AT2G12400	0.004117646	1.431145373	263513_at
AT3G55950	0.019383466	-1.42	251769_at
AT4G34030	0.024828497	1.297511739	253279_at
AT2G22190	0.00000681	2.872251988	263452_at
AT1G22030	0.001730576	-1.79	255955_at
AT3G57800	0.040470949	1.282158512	251601_at
AT1G67870	0.031205426	1.458480305	260007_at
AT4G09580	0.020319303	1.492247316	255040_at
