samples,chip,lab,color,shape
TFL1_B_W_R1,TFL1,Wagner,red,^
TFL1_B_W_R2,TFL1,Wagner,red,^
TFL1_A_W_R1,TFL1,Wagner,red,^
TFL1_A_W_R2,TFL1,Wagner,red,^
FD_W_R1,FD,Wagner,blue,^
FD_W_R2,FD,Wagner,blue,^
FD_S_R1,FD,Schmid,blue,o
FD_S_R2,FD,Schmid,blue,o
FD_ft10_tsf1_S_R1,FD,Schmid,blue,o
FD_ft10_tsf1_S_R2,FD,Schmid,blue,o
TFL1_fd_W_R1,TFL1_fd,Wagner,rebeccapurple,^
TFL1_fd_W_R2,TFL1_fd,Wagner,rebeccapurple,^
LFY_W_R1,LFY,Wagner,gray,^
LFY_W_R2,LFY,Wagner,gray,^
LFY_W_R3,LFY,Wagner,gray,^
LFY_P_R1,LFY,Parcy,gray,s
LFY_P_R2,LFY,Parcy,gray,s
